Voter Name,Voted For
Teresa Johnson,Lila Martinez
Kelly Carter,Lila Martinez
Laura Harrison,Zach Johnson
Justin Thomas,Lila Martinez
Alexander Robinson,Zach Johnson
Timothy Ward,Zach Johnson
Teresa Hill,Lila Martinez
Maria Walker,Lila Martinez
Amanda Simpson,Tyler Davis
Andrew Gray,Tyler Davis
Donna Rogers,Zach Johnson
Michelle Johnson,Lila Martinez
Joyce Kennedy,Tyler Davis
Nicholas Scott,Tyler Davis
Andrew Edwards,Tyler Davis
Edward Crawford,Tyler Davis
William Hunt,Lila Martinez
Emily Davis,Lila Martinez
Brandon Williams,Zach Johnson
Angela Martinez,Lila Martinez
Amanda Johnson,Lila Martinez
Nicholas Reyes,Zach Johnson
Angela Taylor,Lila Martinez
Jack Mitchell,Zach Johnson
Shirley Gordon,Tyler Davis
Jennifer Bell,Zach Johnson
Michelle Reyes,Zach Johnson
Jacob Lewis,Zach Johnson
Dorothy Parker,Zach Johnson
Sharon Baker,Tyler Davis
Jason Freeman,Tyler Davis
Margaret Harris,Tyler Davis
Cynthia Freeman,Zach Johnson
Aaron Miller,Lila Martinez
Aaron Harrison,Zach Johnson
Joseph James,Zach Johnson
Dennis Hunt,Lila Martinez
Linda Perez,Zach Johnson
Dorothy Hunt,Lila Martinez
Donna Simmons,Lila Martinez
Joshua Murphy,Zach Johnson
David Gonzalez,Zach Johnson
Charles Miller,Zach Johnson
Samuel Harrison,Lila Martinez
Jerry Tucker,Zach Johnson
Maria Freeman,Tyler Davis
Sandra Webb,Zach Johnson
Mary Rivera,Zach Johnson
Lauren Cruz,Zach Johnson
Jason Cook,Tyler Davis
Maria Jackson,Tyler Davis
Diane White,Lila Martinez
Samuel Robinson,Zach Johnson
Brandon Green,Zach Johnson
John Parker,Tyler Davis
Andrew Hughes,Zach Johnson
Samuel Bennett,Tyler Davis
Michelle Gray,Tyler Davis
Ryan Hill,Zach Johnson
Mark Taylor,Tyler Davis
Jack Evans,Lila Martinez
Emily Gomez,Lila Martinez
Amanda Robinson,Lila Martinez
Kim Jones,Lila Martinez
Dorothy Webb,Tyler Davis
Christina Collins,Lila Martinez
Joyce Edwards,Zach Johnson
Brian Daniels,Zach Johnson
Karen Parker,Lila Martinez
Jacob Martin,Lila Martinez
Kim Moore,Tyler Davis
James Garcia,Tyler Davis
Mary Moore,Zach Johnson
Christina Ward,Tyler Davis
Mark Murray,Zach Johnson
Daniel Webb,Tyler Davis
Donna Wright,Tyler Davis
Margaret Cox,Zach Johnson
Margaret Reyes,Lila Martinez
Donald Tucker,Lila Martinez
Jessica Hill,Lila Martinez
Patricia Cox,Lila Martinez
Robert Jackson,Lila Martinez
Kathleen Cox,Lila Martinez
Betty Cooper,Lila Martinez
Lisa Allen,Lila Martinez
Patrick Jones,Tyler Davis
Lauren Bell,Tyler Davis
Amanda Crawford,Zach Johnson
Evelyn Evans,Lila Martinez
Edward Reyes,Tyler Davis
Ryan Campbell,Lila Martinez
Betty King,Lila Martinez
Joyce Henry,Tyler Davis
Scott Hall,Lila Martinez
Victoria Baker,Zach Johnson
Anna Walker,Tyler Davis
Kenneth Henry,Lila Martinez
Brandon Patterson,Zach Johnson
Michael Martinez,Lila Martinez
Donald Garcia,Tyler Davis
